team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Argentina,21,4.0,59,29,37,17,5,28,37,75.7,9,41,6,35,28,87,58,0
Australia,20,4.0,58,30,34,21,3,34,58,58.6,24,64,20,44,40,98,104,3
Belgium,20,3.0,48,27,29,17,2,26,41,63.4,15,33,8,25,17,65,59,1
Brazil,26,4.0,72,40,35,22,15,30,48,62.5,18,44,7,37,27,99,47,1
Cameroon,22,3.0,42,20,27,13,2,12,27,44.4,15,22,6,16,40,82,71,1
Canada,19,3.0,41,23,21,13,7,20,40,50.0,20,26,5,21,18,59,41,2
Costa Rica,22,3.0,67,35,43,20,4,33,65,50.8,32,42,14,28,31,98,83,1
Croatia,18,4.3,65,37,30,26,9,27,53,50.9,26,43,18,25,31,96,86,0
Denmark,20,3.0,42,27,18,20,4,18,39,46.2,21,43,16,27,23,65,49,0
Ecuador,18,3.0,46,30,21,23,2,12,36,33.3,24,33,4,29,28,74,42,1
England,20,4.0,49,34,19,20,10,17,25,68.0,8,39,12,27,30,79,42,0
France,24,4.0,88,52,44,34,10,29,46,63.0,17,38,8,30,44,132,52,1
Germany,20,3.0,50,27,24,20,6,26,43,60.5,17,41,7,34,21,71,24,3
Ghana,20,3.0,54,34,31,16,7,22,28,78.6,6,37,14,23,19,73,84,1
Iran,21,3.0,53,29,29,18,6,23,56,41.1,33,37,8,29,42,95,61,0
Japan,22,4.3,70,38,29,34,7,25,42,59.5,17,62,19,43,34,104,101,2
Korea Republic,21,4.0,59,33,28,23,8,30,51,58.8,21,31,8,23,31,90,66,1
Mexico,21,3.0,50,27,21,26,3,25,44,56.8,19,31,2,29,25,75,48,0
Morocco,21,4.3,92,56,55,30,7,47,80,58.8,33,54,10,44,42,134,108,1
Netherlands,19,4.0,73,38,31,32,10,31,45,68.9,14,51,15,36,37,110,80,1
Poland,21,4.0,64,30,33,22,9,22,55,40.0,33,39,13,26,30,94,110,2
Portugal,24,4.0,53,35,29,17,7,22,38,57.9,16,40,12,28,26,79,56,2
Qatar,20,3.0,38,22,21,13,4,14,37,37.8,23,21,4,17,24,62,44,2
Saudi Arabia,23,3.0,47,23,27,16,4,15,33,45.5,18,40,13,27,31,78,67,1
Senegal,20,4.0,43,32,24,17,2,20,36,55.6,16,34,6,28,31,74,96,1
Serbia,22,3.0,53,22,22,23,8,27,45,60.0,18,41,10,31,22,75,49,3
Spain,21,4.3,53,32,19,25,9,16,39,41.0,23,31,4,27,19,72,37,3
Switzerland,24,4.0,48,25,25,17,6,23,39,59.0,16,35,11,24,24,72,78,1
Tunisia,21,3.0,64,36,32,27,5,27,38,71.1,11,41,9,32,25,89,85,1
United States,20,4.0,52,34,31,16,5,25,43,58.1,18,44,4,40,25,77,66,0
Uruguay,19,3.0,51,31,28,19,4,22,46,47.8,24,39,8,31,32,83,54,1
Wales,18,3.0,40,27,16,19,5,15,30,50.0,15,41,15,26,21,61,78,3
