team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Argentina,1,4,4,360,4.0,3,0.75,4,2,25.0,3,0,1,2,50.0,0,0,0,0,-1
Australia,1,4,4,360,4.0,6,1.50,18,12,66.7,2,0,2,2,50.0,0,0,0,0,-1
Belgium,1,3,3,270,3.0,2,0.67,11,8,81.8,1,1,1,2,66.7,1,0,1,0,100.0
Brazil,3,4,4,360,4.0,2,0.50,9,7,77.8,2,0,1,2,50.0,0,0,0,0,-1
Cameroon,2,3,3,260,3.0,4,1.38,15,11,73.3,1,1,1,1,33.3,0,0,0,0,-1
Canada,1,3,3,270,3.0,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,-1
Costa Rica,1,3,3,270,3.0,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0
Croatia,1,4,4,390,4.3,2,0.46,11,9,81.8,1,3,0,2,50.0,0,0,0,0,-1
Denmark,1,3,3,270,3.0,3,1.00,11,8,72.7,0,1,2,1,33.3,0,0,0,0,-1
Ecuador,1,3,3,270,3.0,3,1.00,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0
England,1,4,4,360,4.0,2,0.50,6,4,83.3,3,1,0,3,75.0,1,1,0,0,0.0
France,2,4,4,360,4.0,4,1.00,8,4,62.5,3,0,1,0,0.0,1,1,0,0,0.0
Germany,1,3,3,270,3.0,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,-1
Ghana,1,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0
Iran,2,3,3,270,3.0,7,2.33,15,8,53.3,1,0,1,1,33.3,0,0,0,0,-1
Japan,1,4,4,390,4.3,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0
Korea Republic,1,4,4,360,4.0,8,2.00,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0
Mexico,1,3,3,270,3.0,3,1.00,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0
Morocco,2,4,4,390,4.3,1,0.23,5,5,80.0,2,2,0,3,75.0,0,0,0,0,-1
Netherlands,1,4,4,360,4.0,2,0.50,17,15,88.2,3,1,0,2,50.0,0,0,0,0,-1
Poland,1,4,4,360,4.0,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0
Portugal,1,4,4,360,4.0,5,1.25,14,9,64.3,3,0,1,1,25.0,0,0,0,0,-1
Qatar,2,3,3,270,3.0,7,2.33,12,5,50.0,0,0,3,0,0.0,1,1,0,0,0.0
Saudi Arabia,1,3,3,270,3.0,5,1.67,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0
Senegal,1,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,-1
Serbia,1,3,3,270,3.0,8,2.67,24,16,66.7,0,1,2,0,0.0,0,0,0,0,-1
Spain,1,4,4,390,4.3,3,0.69,9,6,66.7,1,2,1,2,50.0,0,0,0,0,-1
Switzerland,2,4,4,360,4.0,9,2.25,23,14,60.9,2,0,2,1,25.0,0,0,0,0,-1
Tunisia,1,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,-1
United States,1,4,4,360,4.0,4,1.00,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0
Uruguay,1,3,3,270,3.0,2,0.67,7,4,85.7,1,1,1,2,66.7,2,1,1,0,50.0
Wales,2,3,3,269,3.0,6,2.01,14,8,57.1,0,1,1,0,0.0,0,0,0,0,-1
