team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Argentina,21,28.7,4,360,90,100,4.0,44,80,25,19,24,41,2.25,7,3,+4,+1.00,7.6,1.3,+6.3,+1.57
Australia,20,28.7,4,360,90,100,4.0,44,82,25,19,19,40,1.50,4,6,-2,-0.50,2.3,7.2,-4.9,-1.23
Belgium,20,30.6,3,270,90,100,3.0,33,79,19,14,25,29,1.33,1,2,-1,-0.33,4.7,4.6,+0.2,+0.05
Brazil,26,28.4,4,360,90,100,4.0,44,81,24,20,21,32,2.25,7,2,+5,+1.25,9.4,1.4,+8.0,+2.01
Cameroon,22,28.0,3,270,90,100,3.0,33,83,20,12,19,28,1.33,4,4,0,0.00,3.4,5.8,-2.3,-0.78
Canada,19,28.2,3,270,90,100,3.0,33,78,18,15,26,30,0.00,2,7,-5,-1.67,4.2,3.9,+0.3,+0.11
Costa Rica,22,30.6,3,270,90,100,3.0,33,82,19,14,19,30,1.00,3,11,-8,-2.67,1.4,10.1,-8.7,-2.90
Croatia,18,29.4,4,390,98,100,4.3,44,89,27,18,20,39,1.50,5,2,+3,+0.69,5.2,5.0,+0.2,+0.05
Denmark,20,27.5,3,270,90,100,3.0,33,80,20,13,27,30,0.33,1,3,-2,-0.67,2.7,3.9,-1.2,-0.39
Ecuador,18,25.7,3,270,90,100,3.0,33,85,22,11,16,33,1.33,4,3,+1,+0.33,3.7,2.6,+1.2,+0.39
England,20,27.0,4,360,90,100,4.0,44,81,26,18,22,37,2.50,12,2,+10,+2.50,6.3,3.1,+3.2,+0.79
France,24,27.2,4,360,90,100,4.0,44,82,26,18,19,35,2.25,9,4,+5,+1.25,8.6,3.4,+5.2,+1.30
Germany,20,28.1,3,270,90,100,3.0,33,82,18,15,18,30,1.33,6,5,+1,+0.33,10.1,3.4,+6.7,+2.22
Ghana,20,26.4,3,270,90,100,3.0,33,83,18,15,16,30,1.00,5,7,-2,-0.67,4.1,5.6,-1.4,-0.48
Iran,21,29.3,3,270,90,100,3.0,33,76,17,16,29,23,1.00,4,7,-3,-1.00,3.2,4.2,-0.9,-0.32
Japan,22,28.8,4,390,98,100,4.3,44,83,24,20,33,38,1.75,5,4,+1,+0.23,5.0,5.7,-0.7,-0.15
Korea Republic,21,29.0,4,360,90,100,4.0,44,82,28,16,21,44,1.00,5,8,-3,-0.75,4.6,7.1,-2.5,-0.63
Mexico,21,29.0,3,270,90,100,3.0,33,83,21,12,21,33,1.33,2,3,-1,-0.33,3.3,2.4,+0.9,+0.30
Morocco,21,27.3,4,390,98,100,4.3,44,87,24,20,23,40,2.00,4,1,+3,+0.69,3.1,3.8,-0.7,-0.17
Netherlands,19,27.6,4,360,90,100,4.0,44,83,26,18,18,42,2.50,8,2,+6,+1.50,4.0,4.2,-0.1,-0.03
Poland,21,28.6,4,360,90,100,4.0,44,82,29,15,23,45,1.00,3,5,-2,-0.50,4.5,7.3,-2.7,-0.69
Portugal,24,27.9,4,360,90,100,4.0,44,83,24,20,16,32,2.25,12,5,+7,+1.75,6.9,5.1,+1.8,+0.44
Qatar,20,29.0,3,270,90,100,3.0,33,84,22,11,17,32,0.00,1,7,-6,-2.00,1.4,3.5,-2.1,-0.71
Saudi Arabia,23,28.1,3,270,90,100,3.0,33,82,21,14,20,23,1.00,3,5,-2,-0.67,3.0,6.0,-3.0,-1.01
Senegal,20,27.7,4,360,90,100,4.0,44,82,27,17,22,37,1.50,5,7,-2,-0.50,4.6,3.5,+1.0,+0.26
Serbia,22,27.4,3,270,90,100,3.0,33,80,18,15,22,28,0.33,5,8,-3,-1.00,3.4,7.3,-3.9,-1.32
Spain,21,26.3,4,390,98,100,4.3,44,84,25,20,30,40,1.25,9,3,+6,+1.38,6.2,3.4,+2.7,+0.63
Switzerland,24,28.4,4,360,90,100,4.0,44,82,25,19,19,35,1.50,5,9,-4,-1.00,5.6,5.3,+0.3,+0.08
Tunisia,21,27.7,3,270,90,100,3.0,33,84,21,12,18,33,1.33,1,1,0,0.00,2.3,2.8,-0.5,-0.17
United States,20,25.3,4,360,90,100,4.0,44,82,25,19,18,41,1.25,3,4,-1,-0.25,4.1,4.4,-0.3,-0.07
Uruguay,19,28.5,3,270,90,100,3.0,33,81,19,14,20,28,1.33,2,2,0,0.00,3.7,3.5,+0.1,+0.05
Wales,18,27.7,3,270,90,100,3.0,33,81,19,13,23,31,0.33,1,6,-5,-1.67,2.7,4.6,-1.9,-0.63
