team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Argentina,21,65.0,4.0,3244,174,800,1674,792,96,3242,25,65,38.5,50,37,2453,118
Australia,20,37.8,4.0,2155,306,882,910,378,46,2155,13,46,28.3,61,36,1236,65
Belgium,20,57.0,3.0,2172,251,828,995,369,52,2172,19,45,42.2,47,24,1579,95
Brazil,26,57.8,4.0,2895,199,727,1405,781,124,2894,25,82,30.5,71,44,2087,149
Cameroon,22,41.7,3.0,1571,226,604,666,324,50,1571,24,55,43.6,39,24,943,58
Canada,19,52.0,3.0,1889,155,517,946,441,56,1889,31,82,37.8,52,30,1289,83
Costa Rica,22,31.3,3.0,1436,248,688,594,170,18,1436,17,37,45.9,43,31,812,36
Croatia,18,55.0,4.3,3038,262,837,1550,686,107,3038,16,49,32.7,62,35,2110,136
Denmark,20,60.0,3.0,2255,164,584,1162,525,68,2255,10,47,21.3,50,25,1570,128
Ecuador,18,53.3,3.0,1761,119,578,879,316,49,1760,13,43,30.2,65,25,1145,51
England,20,64.3,4.0,2995,186,847,1561,613,92,2995,32,66,48.5,50,24,2281,146
France,24,57.8,4.0,3005,210,759,1498,783,118,3005,37,81,45.7,57,43,2186,127
Germany,20,59.3,3.0,2311,174,588,1035,707,127,2310,31,64,48.4,44,41,1665,128
Ghana,20,42.0,3.0,1616,215,630,670,338,40,1615,27,57,47.4,46,34,963,61
Iran,21,36.7,3.0,1428,181,557,592,302,44,1427,11,34,32.4,38,19,753,54
Japan,22,35.8,4.3,2234,268,778,1024,453,66,2234,18,49,36.7,60,36,1302,77
Korea Republic,21,48.3,4.0,2401,232,712,1031,671,74,2401,13,54,24.1,47,26,1593,107
Mexico,21,54.0,3.0,1768,134,504,887,392,51,1768,19,43,44.2,50,30,1081,74
Morocco,21,33.8,4.3,1994,289,915,771,325,40,1994,27,68,39.7,72,28,1117,51
Netherlands,19,53.3,4.0,2705,267,816,1353,552,60,2705,17,43,39.5,60,36,1880,108
Poland,21,37.3,4.0,1956,289,715,895,365,54,1954,17,50,34.0,57,30,1147,49
Portugal,24,57.3,4.0,2754,237,855,1250,663,83,2752,19,46,41.3,52,25,2000,113
Qatar,20,43.0,3.0,1661,180,584,839,251,24,1661,16,42,38.1,44,22,1122,48
Saudi Arabia,23,44.7,3.0,1551,186,493,674,409,64,1550,12,42,28.6,60,24,852,73
Senegal,20,44.8,4.0,2087,235,700,887,525,66,2086,26,59,44.1,60,45,1287,79
Serbia,22,51.3,3.0,1816,199,581,864,392,56,1816,9,28,32.1,49,22,1171,72
Spain,21,75.8,4.3,4300,222,789,2596,937,87,4299,24,80,30.0,70,41,3500,169
Switzerland,24,49.0,4.0,2408,274,846,1098,486,54,2408,8,37,21.6,56,42,1645,115
Tunisia,21,44.3,3.0,1725,193,654,745,343,60,1725,19,46,41.3,52,49,977,86
United States,20,53.0,4.0,2658,225,730,1254,696,91,2658,27,66,40.9,75,45,1778,118
Uruguay,19,48.7,3.0,1836,153,574,888,391,50,1836,9,34,26.5,51,27,1141,83
Wales,18,46.7,3.0,1699,211,629,754,322,40,1698,9,36,25.0,45,21,1021,64
